name,semrush_profile,twitter,linkedin,facebook,instagram,website,job_title,summary,rank_name,alltime_rank_posts,alltime_rank_comments
Colin Craig,https://www.semrush.com/user/147558049/,https://twitter.com/pod_marketing/,https://www.linkedin.com/in/pod-digital-marketing/,https://www.facebook.com/poddigitalmarketing/,,https://poddigital.co.uk/,Director at poddigital.co.uk,"My company: POD Digital is a specialist Ecommerce SEO Company. 
We work with big companies up and down the country to improve the performance of their website, increasing traffic, rankings and driving revenue.",Pro,202,487
Gustavo Pelogia,https://www.semrush.com/user/145854785/,https://twitter.com/pelogia/,https://www.linkedin.com/in/gpelogia/,https://www.facebook.com/pelogia/,https://www.instagram.com/gustavopelogia/,https://pelogia.it,Sr. SEO Specialist & Client Lead at Wolfgang Digital,"Gustavo Pelogia is a Brazilian-Italian SEO, who worked as a journalist in Brazil until stumbling into SEO almost accidentally.

He developed his skills in Amsterdam working as a Senior Marketing & PR Manager at Poki for over three years, right after living in Buenos Aires for almost two years at Despegar.com (the biggest OTA in Latin America at the time).

Currently working as an SEO Specialist & Client Lead at Wolfgang Digital, he worked on award-winning campaigns for Dublin Airport and Maldron Hotels, both winners at The Drum Search Awards 2020. In 2018 he also started public speaking, being on stage for several events in Ireland and the UK, including Wolfgang Essentials, 3XE, BristolSEO, CardiffSEO and others.

In Ireland, he also worked for Learn Inbound for several years, helping with the conference and the monthly Pint-Sized Marketing meetup.

Gus loves link building, inbound marketing, PR, keyword research and innovative technologies. On a personal level, he is crazy about Seinfeld and in 2020 participated on a podcast from CNN Brazil about the 90's sitcom.",Expert,203,0
David Sawyer,https://www.semrush.com/user/145769329/,,,,,,,"David Sawyer is founder of Glasgow (Scotland) based digital public relations agency Zude PR. Passionate about SEO, David eats, writes, and runs (mainly marathons). He’s a multi-award-winning (including one from the United Nations) senior PR practitioner who helps small companies get their message across online. Google him.",Expert,204,2874
Evelyn Johnson,https://www.semrush.com/user/166184865/,https://twitter.com/EvelynJ84143762/,,,,,,"A writer by day and a reader by night, Evelyn is a blogger and content marketer from Australia. She started her career as a junior writer in an Ad agency but with the passage of time her passion from food and travel grew so much that she started writing her own articles and blogs and get them posted on major Australian websites.",Expert,205,0
Tony Wright,https://www.semrush.com/user/145747857/,https://twitter.com/@tonynwright/,https://www.linkedin.com/in/tonynwright/,https://www.facebook.com/tonynwright/,https://www.instagram.com/tonynwright/,https://www.wrightimc.com,CEO at WrightIMC,"I have spent my 20+-year career helping companies of all sizes be profitable online through strategic, hands-on work in interactive marketing as well as traditional and interactive public relations and journalism.
My work has earned me the accolades of “search marketing and social media expert,” although I prefer the term “geek.” An expert knows everything and I learn something new every day.
I have extensive experience in online crisis communication and brand reputation strategy, including corporate blogging and corporate monitoring, most notably directing the online corporate reputation management strategy for American Airlines immediately following the events of Sept. 11, 2001. 
I’ve spoken at many events, including Search Engine Strategies, E-tail and others. I frequently contribute articles, columns and quotes to various national and trade publications that are widely read and cited. My work for clients has been recognized in several local and national award campaigns, I also served as Vice-President and President of the Dallas/Fort Worth Search Marketing Association, and as the professional advisory committee for the School of Mass Communication at Texas Tech University.
I live in Allen, Texas, with my wife and four children. I am an amateur BBQ cook, and amateur theologian. I graduated from Texas Tech (Wreck Em’) with a Master’s degree in Mass Communication and from John Brown University with a degree in Journalism.",Helper,206,0
Michael Erickson Facchin,https://www.semrush.com/user/148181825/,,https://www.linkedin.com/in/michael-erickson-facchin-b7314866/,,,,CEO at Ad Badger,I Got 99 Problems But PPC Ain't One. Currently helping people gain a higher ROAS and a lower ACOS. I have over 8 years of PPC experience and started an Amazon PPC tool to automate bidding and keyword research.,Expert,207,0
Rachel McPherson,https://www.semrush.com/user/146626705/,https://twitter.com/activecollab/,,https://www.facebook.com/activecollab/,,https://activecollab.com/,VP of Communications at Active Collab,"Rachel is currently working as the vice president of communications at Active Collab. After finishing her master's degree in Communications she pursued a career in the digital industry, most notably in marketing and public relations.",Expert,208,0
Tom Casano,https://www.semrush.com/user/146631681/,https://twitter.com/TomCasano/,https://www.linkedin.com/in/tomcasano/,https://www.facebook.com/SureOak/,,https://www.sureoak.com,Founder at Sure Oak,"Tom Casano is an SEO consultant and the founder of Sure Oak, an SEO agency based in New York. Tom has core competencies in link earning with outreach, keyword research, on-page optimization, technical site audits, strategy, content planning and content marketing. Tom grew a startup, LifeCoachSpotter.com, from 0 to 20,000+ organic visitors/month with SEO, having worked extensively in the field by personally testing dozens of strategies and techniques to boost rankings. Tom hosts The Sure Oak Podcast with weekly episodes of interviews with other digital marketing experts.",Pro,209,126
Valerie Lavskaya,https://www.semrush.com/user/148994609/,,https://www.linkedin.com/in/lavskaya/,,,https://www.promodo.com,Marketing Content Manager at Promodo,I'm a content specialist at Promodo Digital Agency. I'm always seeking for fresh data and actual facts to bring relevant ideas to the audience. I believe that useful content can enrich the experience of marketers and empower businesses to make the right decisions fast and accurately.,Expert,210,1723
Danny Sánchez-Mola,https://www.semrush.com/user/146079793/,https://twitter.com/kolaumarketing/,,https://www.facebook.com/KolauMarketing/,,,,"Danny Mola is the Founder & CEO of Kolau, the only all­-in-­one marketing platform geared towards users with no marketing experience. You can follow Kolau on Twitter and on Facebook.",Master,211,669
Al Gomez,https://www.semrush.com/user/145672849/,https://twitter.com/dlinkers/,https://www.linkedin.com/in/algomez17/,https://www.facebook.com/Dlinkers/,,https://dlinkers.com/,SEO Consultant at Dlinkers,"SEO consultant Al Gomez is the man behind Dlinkers. With more than nine years of experience in digital marketing, he enjoys supporting smartpreneurs like himself achieve online success.",Expert,212,0
Amanda Sparks,https://www.semrush.com/user/148001089/,https://twitter.com/amanda2sparks/,https://www.linkedin.com/in/amanda-sparks-53590b116/,,,https://medium.com/@amanda2sparks,Content Manager,"Digital marketer, psychologist, former writer at Huffington Post, content manager at Essay Supply. AI fan and bullying researcher. Analogue at birth, digital by design.",Expert,213,360
David Leonhardt,https://www.semrush.com/user/146391233/,https://twitter.com/amabaie/,https://www.linkedin.com/in/davidleonhardt/,https://www.facebook.com/THGMwriters/,,http://THGMwriters.com,President at THGM Writers,,Pro,214,500
Arsen Rabinovich,https://www.semrush.com/user/145850481/,https://twitter.com/tophatarsen/,https://www.linkedin.com/in/arsenrabinovich/,,https://www.instagram.com/tophatarsen/,https://TopHatRank.com,"Director of SEO / Founder at TopHatRank LLC.,","Arsen Rabinovich is the founder and managing partner of TopHatRank.com, a search and social marketing agency that helps expose brands of all sizes to online consumers.",Pro,215,73
Cooper Hollmaier,https://www.semrush.com/user/156584801/,https://twitter.com/cooperhollmaier/,https://www.linkedin.com/in/cooperhollmaier/,,,https://www.visiture.com,Technical SEO Manager at Visiture,"Cooper Hollmaier is the Technical SEO Manager at Visiture, an award-winning digital marketing agency specialized in working with leading brands selling products online. On a daily basis, you can find him completing exhaustive technical SEO audits, tearing through client backlink profiles, or researching new ways to help eCommerce businesses realize a positive return-on-investment while delivering the best user experience. 

His passion for teaching marketing and operational efficiency is evidenced through countless presentations, speaking engagements, and the development of internal tools aimed at perfecting the client engagement and building SEO campaigns to scale.",Pro,216,86
Ben Fitzpatrick,https://www.semrush.com/user/155155233/,,https://www.linkedin.com/in/ben-fitzpatrick-049b845/,,,https://www.webprofits.com.au/,Head of Operations at Web Profits,"With over five years tenure and extensive experience across all areas of digital marketing, Ben Fitzpatrick is Web Profits' Head of Operations and a consultant for some of its largest Growth Marketing clients. Across the business, he is constantly working with the team to innovate and improve in order to keep Web Profits at the forefront of digital marketing.",Expert,217,1025
Ryan Gould,https://www.semrush.com/user/150394673/,https://twitter.com/elevationb2b/,https://www.linkedin.com/in/rygould/,https://www.facebook.com/elevationb2b/,,,VP of Strategy at Elevation Marketing,"A strategic marketing and branding expert, Ryan helps Elevation’s clients solve their problems and achieve their business goals through integrated marketing solutions distinguished by research, storytelling, engagement and conversion. With a proven track record of energizing brands and having worked with a variety of Fortune 500 companies, Ryan is a respected expert in achieving consistent results through creative design, thought-provoking narratives and innovative problem solving.",Expert,218,0
Anthony Capetola,https://www.semrush.com/user/147543873/,https://twitter.com/salesandorders/,https://www.linkedin.com/in/anthony-capetola-2645baa0/,,,https://www.salesandorders.com,Marketing Manager at Sales and Orders,"A 10+-year veteran of the digital marketing industry, Tony has built and managed successful SEM and Social PPC campaigns for hundreds of small to large-sized businesses in various industry verticals including national franchises and eCommerce. As the current Marketing Manager for Sales & Orders Management Software for Google Shopping, he manages the entirety of paid search and inbound marketing efforts.",Expert,219,0
Oleg Yemchuk,https://www.semrush.com/user/146711889/,,https://www.linkedin.com/in/oleg-yemchuk-9a24b627/,,,,Marketing Manager at Maven,"Oleg Yemchuk is the marketing manager at Maven sharing office space with eCommerce business experts and software developers. Oleg is marketing expert by day and geek by night. As a geek culture fan, he spends his free time playing video games and reading comics.",Expert,220,265
Justin Thomas,https://www.semrush.com/user/148679441/,https://twitter.com/justinthomasla/,https://www.linkedin.com/in/justinryanthomas/,https://www.facebook.com/JourneyEngine/,https://www.instagram.com/journeyengine/,https://journeyengine.com/,"Founder, Journey Engineer at Journeyengine","Justin is founder at JourneyEngine – a Los Angeles Growth Marketing Agency that helps B2B companies, SAAS businesses, digital agencies and professional service providers generate high-ticket business, at profit and scale.

Justin has 10+ Years of SEO, Web Analytics and Lead Generation Consulting Experience with clients including Toyota, PepsiCo and Sony. He’s also a former instructor and frequent guest Lecturer at General Assembly's downtown LA campus.",Expert,221,313
Amirash Patel,https://www.semrush.com/user/145929761/,,,,,,,"Ami Patel is president of DemandWave, a B2B digital marketing agency based in the San Francisco Bay Area. Since joining the company in 2011, Ami has helped DemandWave grow into a leading digital demand generation agency as a two-time winner of the Inc. 500/5000. Ami and the DemandWave team have served as strategic digital marketing partners to hundreds of enterprises and fast-growing startups across a wide variety of industries. Connect with Ami on LinkedIn for more B2B marketing insights.",Expert,222,0
Darrell Davis,https://www.semrush.com/user/146701265/,,,,,,SEO Manager at The Penny Hoarder,"Darrell Davis is the SEO Manager at The Penny Hoarder, one of the largest personal finance websites in America that helps readers make and save extra money. He has a background in traditional and digital agencies and has expertise in on-page optimization, content development, UX and technical SEO.",Expert,223,498
Reed Langton-Yanowitz,https://www.semrush.com/user/146517105/,,,,,,Vice President of Search Marketing at Rocket55,"Reed Langton-Yanowitz is the Vice President of Search Marketing at Rocket55, where he previously held the positions of SEO account manager and SEM Specialist. He has over 5 years of experience in digital marketing, and has worked with accounts of all sizes in a variety of industries including construction, manufacturing, B2B, B2C, and higher education. Originally from Rochester, Minnesota, Reed moved to Minneapolis after graduating from Carleton College where he studied Economics and Spanish. As a technophile with a penchant for behavioral psychology, digital marketing has provided the perfect combination of Reed’s lifelong interests. When he is not working to improve the visibility and profitability of institutions online, Reed enjoys watching soccer and spending time with his family down in Rochester.",Expert,224,841
Brock Murray,https://www.semrush.com/user/145671169/,https://twitter.com/SEOBrock/,https://www.linkedin.com/in/brockmurray/,https://www.facebook.com/Br0ckMurray/,,https://www.seoplus.ca,Co-Founder/COO at seoplus+,"Brock Murray is a digital marketing specialist for seoplus+. His unique ideas and passion for all things SEO-related have helped hundreds of SMBs establish and maintain their online presence. Brock's last article for SEMrush was ""My 5 Favorite Things About Being an SEO.""",Expert,225,2541
Tahir Miah,https://www.semrush.com/user/147750945/,https://twitter.com/@serpjump/,https://www.linkedin.com/in/tahir-miah-serpjump/,,,https://serpjump.com/,SEO Consultant at Serpjump,"Tahir Miah is an entrepreneur, digital marketer and SEO enthusiast. He is the founder of Serpjump, a Bedford link building agency. Tahir currently advises companies on the best way to increase revenue and brand awareness through SEO, content marketing and link building.",Expert,226,0
Darren Taylor,https://www.semrush.com/user/148715985/,https://twitter.com/thebigmarketer/,https://www.linkedin.com/in/thebigmarketer/,,,https://thebigmarketer.com/,Consultant and Trainer at The Big Marketer,"Darren Taylor is a digital marketing trainer, providing online and face to face training sessions in businesses and higher education institutions. He also provides digital marketing services to businesses through his independent consultancy ""The Big Marketer"".",Expert,227,208
Amy Bishop,https://www.semrush.com/user/149375297/,https://twitter.com/hoffman8/,https://www.linkedin.com/in/amybishopmarketing/,,,http://www.CultivativeMarketing.com,"Owner at Cultivative, LLC.","Amy has built and implemented multichannel digital strategies for a variety of companies of all sizes from start-ups and small businesses to Fortune 500 and global organizations spanning several industry verticals. Her expertise includes e-commerce, lead generation, and localized site-to-store strategies. 

Amy regularly speaks at industry conferences across the United States and internationally, including HeroConf and the SMX circuit among others. Amy is the local chair for SEMPO-Louisville. Amy also writes for leading industry publications Search Engine Land and Marketing Land. 

Amy recently launched Cultivative, a performance marketing agency. When not working, you can find her talking shop on Twitter at www.Twitter.com/hoffman8.",Pro,228,971
Deren Baker,https://www.semrush.com/user/146871089/,https://twitter.com/jumpshotinc/,https://www.linkedin.com/in/deren-baker/,,,https://www.jumpshot.com/,CEO at Jumpshot,"Deren Baker is the CEO of Jumpshot, a San Francisco-based startup that offers marketing analytics solutions tailored for the travel, retail, media, financial, and e-commerce industries. He previously held senior roles at Travelocity and Switchfly.",Expert,229,0
Ben Austin,https://www.semrush.com/user/145805889/,https://twitter.com/AbsoluteDMedia/,https://www.linkedin.com/in/absolutedigitalmedia/,https://www.facebook.com/AbsoluteDigitalMedia/,,http://www.absolutedigitalmedia.com,CEO at Absolute Digital Media,"As CEO of Absolute Digital Media, Ben is committed to consistently driving the business forward. With exceptional knowledge and expertise across a broad range of industry topics, Ben is looking to share his expertise with the world as a thought leader. When he is not implementing the latest innovations in the company or sharing his knowledge with the team, Ben likes to spend time with his wife and children.",Expert,230,2419
Richart Ruddie,https://www.semrush.com/user/146002529/,,,,,,,Richart Ruddie is digital marketing strategist and reputation management consultant who runs one of the largest online reputation management agencies. He has been in digital marketing since 2008. When not busy working behind his computer he is traveling the world visiting over 10 different countries over the last year.,Expert,231,0
Martin Kura,https://www.semrush.com/user/145667169/,https://twitter.com/HermanTinkura/,,,,,,Martin Kůra is an International SEO Strategist. You can visit his personal website.,Expert,232,82
Sherry Bonelli,https://www.semrush.com/user/145674017/,https://twitter.com/sherrybonelli/,https://www.linkedin.com/in/sherrybonelli/,https://www.facebook.com/earlybirddigitalmarketing/,,http://earlybirddigitalmarketing.com,Digital Marketer at early bird digital marketing,"Sherry Bonelli, M.A. Internet Marketing, is a nationally recognized Digital Marketer Expert and Presenter/Speaker. She has been a digital marketing professional since 1998. Sherry is a recognized national speaker at industry events, webinars and podcasts, such as Traffic & Conversion Summit, SMX, SEMrush, SCORE, MozPod, The Local Leaders Podcast, Edge of the Web and others. 
As a guest columnist for some of the leading SEO and digital marketing websites, like SEMrush, Search Engine Land, Moz, GeoMarketing/Yext, BrightLocal, SCORE and others, she’s earned recognition by having some of the most shared local SEO blog posts on the internet -- one of her blog posts was recently recognized as Search Engine Land’s second most popular local SEO post in 2017. She was also the winner of Search Engine Land's 2018 SEO Contributor of the Year Award.
She is the Founder and Owner of: http://earlybirddigitalmarketing.com where she helps businesses from around the US and the world with their digital marketing efforts to help grow their businesses.
She can be reached by visiting http://earlybirddigitalmarketing.com or by calling 319.409.3287.
 ",Expert,233,0
Peter Mead,https://www.semrush.com/user/145846945/,https://twitter.com/petermeadit/,https://www.linkedin.com/in/petermeadit/,https://www.facebook.com/petermeadit/,https://www.instagram.com/petermeadit/,https://petermeadit.com/,WordPress SEO Consultant at Peter Mead iT,"Peter Mead is a WordPress SEO Consultant with a focus on generating Internet Traffic via Technical SEO and Content Marketing.
Peter has been building websites and getting them traffic since 1997, since before WordPress and SEO or Google. 
He is a speaker and presenter for several groups and events. Peter is active in the SEO community including the Melbourne SEO Meetup and Search Marketing Professionals.",Guru,234,25
Daniel Taylor,https://www.semrush.com/user/145924833/,,,,,,,"Dan is a Technical SEO Account Manager at Leeds based SALT.agency and hails from the sunny seaside town of Cleethorpes, UK. An avid blogger and speaker, Dan spends his days consulting and offering advice to a range of clients from various industries and parts of the world, helping them achieve more online.",Expert,235,495
Sarah Carling,https://www.semrush.com/user/165607329/,https://twitter.com/sarahcarling/,https://www.linkedin.com/in/sarahecarling/,https://www.facebook.com/SarahECarling/,,,Owner at Marketing Nomads,I've been working as an SEO for 15 years and running Marketing Nomads for the past 8. We specialize in technical SEO and data analysis to help businesses make fact based decisions about their online marketing.,Expert,236,863
Asim Mughal,https://www.semrush.com/user/146479089/,https://twitter.com/aasimmugal/,https://www.linkedin.com/in/aasimmugal/,https://www.facebook.com/aasimmugal/,,https://www.eebew.com/,Co-Founder at Webbee Inc.,Asim Mughal is co-founder of Webbee Inc. He is a data analyst who helps companies to grow their businesses and get more visibility in search results.,Expert,237,240
Viktoria Kanevsky,https://www.semrush.com/user/170362737/,,https://www.linkedin.com/in/viktoriakanevsky/,https://www.facebook.com/groups/,https://www.instagram.com/onlineboutiquesmba/,https://vkecom.com,Digital Marketing Expert at VKEcom.com,"Viktoria Kanevsky is the only person in the Los Angeles fashion industry who has a unique experience running digital & e-commerce departments in online fashion marketplaces, multimillion online wholesalers, retailers, and smaller boutiques.

• She helps her clients to build, run, and profit from their website presence on a tight budget.

Currently, the founder of https://VKEcom.com, the informational site every aspect of how to build, run and promote an online business in Fashion & Lifestyle other industries with limited knowledge, budgets & resources.


• Viktoria is a former Head of Digital for LAShowroom, Fashion Domino, Ed Hardy, Super Dry, Hale Bob, Broderbund, Bidz.com with a client base including Disney, Playboy, Roca Wear, and many more.


• Viktoria holds two Master Degrees and writes for the top E-Commerce publications. She spoke at Internet Retailer, eTail West, Apparel Textile Sourcing, and guest spoke to FIDM.",Expert,238,0
Fernando Maciá Domene,https://www.semrush.com/user/146409905/,https://twitter.com/fernandomacia/,https://www.linkedin.com/in/fernandomacia/,https://www.facebook.com/fernandomacia/,,http://amzn.to/2fuyGFV,Director general at Human Level Communications,"Fernando Maciá Domene es el fundador y director de Human Level Communications, una de las consultoras de posicionamiento Web líder en España y al frente de la cual ha dirigido numerosos proyectos de SEO internacional.

Fernando es el autor de SEO Técnicas Avanzadas (2015), Marketing online 2.0 (2013) y Técnicas avanzadas de posicionamiento en buscadores (2011) y también es coautor de Marketing en redes sociales (2016), Posicionamiento en buscadores ed. 2012 (2012), Marketing con redes sociales (2011), Marketing online (2010), Posicionamiento en buscadores ed. 2009 (2009) y Posicionamiento en buscadores (2006), todos ellos best-sellers en su especialidad de la editorial Anaya Multimedia.

Fernando es profesor en universidades y escuelas de negocio de España y Latinoamérica y ponente habitual de congresos como The Inbounder, ClinicSEO, eShow, SMX, Online Marketing Expo, Search/Web Congress, Feria de Tiendas Virtuales o E-Comm Retail.",Pro,239,247
Marcus Ho,https://www.semrush.com/user/157287569/,,https://www.linkedin.com/in/homarcus/,,,https://brewinteractive.com,Director at Brew Interactive,"Marcus is the founder of Brew Interactive, a 
Singapore-based digital marketing agency that specializes in marketing to the affluent audience through digital. He is also the author of the highly raved book, Social Payoff.",Expert,240,318
Marilyn Mead,https://www.semrush.com/user/146580385/,,,,,,Product Marketing Manager at The List,"Marilyn has been connecting the dots between ad spending and ad buying behavior for close to a decade, working with clients ranging from Fortune 500 publishers and media networks to adtech start ups and marketing agencies. She's held a number of roles at leading sales intelligence companies, and currently serves as Product Marketing Manager at List Partners Inc., overseeing Winmo, The List Online and AdDataExpress among other brands. She's a proud native of Southern California, and despite living in New York for the past 15 years, continues to hold a valid California driver's license.",Helper,241,0
Haydar Özkömürcü,https://www.semrush.com/user/146305457/,https://twitter.com/hozkomurcu/,https://www.linkedin.com/in/hozkomurcu/,https://www.facebook.com/hozkomurcu/,https://www.instagram.com/hozkomurcu/,https://hozkomurcu.com/en/,Growth Hacker at Cremicro Growth Hacking Agency,"Digital marketing lecturer in Fatih Sultan Mehmet Foundation University, Istanbul Technical University and Okan University with more then 3000 graduate students. Author of Become Twitterer and Become Googler books. Beside this, served +200 national and global brands.",Expert,242,0
Matthew Capala,https://www.semrush.com/user/145669425/,https://twitter.com/SearchDecoder/,https://www.linkedin.com/in/mcapala/,https://www.facebook.com/matt.capala/,,,Founder at Alphametic,"Matthew Capala is the founder of Alphametic, a data-driven search marketing agency with a portfolio of clients including L’Oreal, Shopkeep, Novartis, Lendio and Quest Diagnostics; publisher of Search Decoder; and author of award-winning international bestseller “SEO Like I’m 5.” He writes on The Next Web and Entrepreneur, and speaks on main stages at conferences such as Digital Summit, Social Media Week, and Internet Summit. His work and ideas have been featured on Chicago Tribune, Huffington Post, Mashable, Problogger, and Inc. He’s been invited to deliver his signature SEO workshops to some of the world’s largest brands in destinations ranging from a luxury retreat in Trinidad to a corporate summit in the Swiss Alps.",Expert,243,0
Laurynas Skupas,https://www.semrush.com/user/146724145/,https://twitter.com/laurynasskupas/,https://www.linkedin.com/in/laurynas-skupas-14b09646/,,,https://www.chameleonjohn.com,CEO at Chameleon John,"Laurynas Skupas is the CEO of ChameleonJohn, one of the largest coupons & discounts website with over 100,000 stores. He holds a bachelor’s degree in international business and a consultant in online marketing for more than 5 years.",Expert,244,4204
Sid Bharath,https://www.semrush.com/user/147453185/,,,,,,VP of Growth at Thinkific,"Sid is an entrepreneur and marketing consultant. He's currently the VP of Growth at Thinkific, the all-in-one online course platform.",Helper,245,0
Nishan Singh,https://www.semrush.com/user/147186177/,,https://www.linkedin.com/in/nishansinghgill/,,,https://nishansingh.ca,Online Marketing Consultant at Nishan,"I'm an online marketing consultant and trainer based in Ontario (Canada). Other than helping businesses in growing their online presence, I love traveling, road-trips, photography and reading poetry.",Expert,246,1479
